Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Édition,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ARM","Arménie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","1.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ABW","Aruba","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","","","",""
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ABW","Aruba","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","","","",""
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AUS","Australie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","3.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AUS","Australie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AUT","Autriche","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","2.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AUT","Autriche","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AZE","Azerbaïdjan","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","0.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","AZE","Azerbaïdjan","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BHS","Bahamas","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BHS","Bahamas","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BHR","Bahreïn","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BHR","Bahreïn","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BGD","Bangladesh","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","48.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BGD","Bangladesh","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","81.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BRB","Barbade","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BRB","Barbade","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BLR","Bélarus","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BLR","Bélarus","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BEL","Belgique","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","0.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BEL","Belgique","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BLZ","Belize","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","61.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BLZ","Belize","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BEN","Bénin","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","56.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BEN","Bénin","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","7.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BMU","Bermudes","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BMU","Bermudes","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BTN","Bhoutan","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","5.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BTN","Bhoutan","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","<0.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BOL","Bolivie (État plurinational de)","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","8.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BOL","Bolivie (État plurinational de)","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BIH","Bosnie-Herzégovine","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","5.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BIH","Bosnie-Herzégovine","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BWA","Botswana","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","60.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BWA","Botswana","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","1.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BRA","Brésil","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","25.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BRA","Brésil","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","53.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BRN","Brunéi Darussalam","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BRN","Brunéi Darussalam","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BGR","Bulgarie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","5.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BGR","Bulgarie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.4","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BFA","Burkina Faso","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","63.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BFA","Burkina Faso","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","14.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BDI","Burundi","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","89.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","BDI","Burundi","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","11.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CPV","Cabo Verde","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","30.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CPV","Cabo Verde","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","KHM","Cambodge","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","KHM","Cambodge","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CMR","Cameroun","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","55.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CMR","Cameroun","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","15.4","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CAN","Canada","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","2.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CAN","Canada","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","1.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CHL","Chili","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","40.4","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CHL","Chili","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","7.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","HKG","Chine - RAS de Hong-Kong","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","HKG","Chine - RAS de Hong-Kong","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","MAC","Chine - RAS de Macao","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","MAC","Chine - RAS de Macao","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CHN","Chine, continentale","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","14.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CHN","Chine, continentale","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","208.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","TWN","Chine, Taiwan Province de","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","TWN","Chine, Taiwan Province de","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CYP","Chypre","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","1.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CYP","Chypre","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","<0.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","COL","Colombie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","36.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","COL","Colombie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","18.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","COM","Comores","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","COM","Comores","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","COG","Congo","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","79.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","COG","Congo","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","4.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CRI","Costa Rica","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","15.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CRI","Costa Rica","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.8","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CIV","Côte d'Ivoire","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","49.7","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CIV","Côte d'Ivoire","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","15.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","HRV","Croatie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","13.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","HRV","Croatie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CUB","Cuba","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CUB","Cuba","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CUW","Curaçao","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","","","",""
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","CUW","Curaçao","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","","","",""
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DNK","Danemark","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","0.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DNK","Danemark","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.1","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DJI","Djibouti","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","53.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DJI","Djibouti","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DMA","Dominique","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DMA","Dominique","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","EGY","Égypte","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","44.4","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","EGY","Égypte","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","50","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","SLV","El Salvador","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","SLV","El Salvador","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","","O","Valeur manquante"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ARE","Émirats arabes unis","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","2.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ARE","Émirats arabes unis","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","0.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ECU","Équateur","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","25.9","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ECU","Équateur","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2022","2022","Décembre 2024 (Mise à jour)","millions de No","4.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ERI","Érythrée","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2022","2022","Décembre 2024 (Mise à jour)","%","","O","Valeur manquante"
